                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9147,                 3.3174,                 1.6264,                0.00324,                0.91324,                0.68891,                0.30268,                      0,                    inf,                      0,               0.070652,              0.0032609,              0.0032609
                      1,                 1.8638,                 1.8277,                 1.5187,                0.95617,                0.09964,                0.69191,                0.29871,                      0,                    inf,                      0,               0.040435,              0.0063766,              0.0063766
                      2,                 1.8396,                 1.6554,                 1.5006,                0.84927,                0.65753,                0.78291,                0.35823,                      0,                    inf,                      0,               0.009997,              0.0092723,              0.0092723
                      3,                 1.7847,                 1.5777,                 1.4891,                0.65505,                0.59817,                0.53712,                0.23885,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                      4,                 1.7662,                    inf,                 1.4743,                0.65505,                0.59817,                0.53712,                0.23885,                      0,                    nan,                      0,                0.00901,                0.00901,                0.00901
                      5,                    nan,                    nan,                    nan,                0.65505,                0.59817,                0.53712,                0.23885,                      0,                    nan,                      0,                0.00868,                0.00868,                0.00868
                      6,                    nan,                    nan,                    nan,                0.65505,                0.59817,                0.53712,                0.23885,                      0,                    nan,                      0,                0.00835,                0.00835,                0.00835
                      7,                    nan,                    nan,                    nan,                0.65505,                0.59817,                0.53712,                0.23885,                      0,                    nan,                      0,                0.00802,                0.00802,                0.00802
                      8,                    nan,                    nan,                    nan,                0.65505,                0.59817,                0.53712,                0.23885,                      0,                    nan,                      0,                0.00769,                0.00769,                0.00769
                      9,                    nan,                    nan,                    nan,                0.65505,                0.59817,                0.53712,                0.23885,                      0,                    nan,                      0,                0.00736,                0.00736,                0.00736
                     10,                    nan,                    nan,                    nan,                0.65505,                0.59817,                0.53712,                0.23885,                      0,                    nan,                      0,                0.00703,                0.00703,                0.00703
                     11,                    nan,                    nan,                    nan,                0.65505,                0.59817,                0.53712,                0.23885,                      0,                    nan,                      0,                 0.0067,                 0.0067,                 0.0067
                     12,                    nan,                    nan,                    nan,                0.65505,                0.59817,                0.53712,                0.23885,                      0,                    nan,                      0,                0.00637,                0.00637,                0.00637
                     13,                    nan,                    nan,                    nan,                0.65505,                0.59817,                0.53712,                0.23885,                      0,                    nan,                      0,                0.00604,                0.00604,                0.00604
                     14,                    nan,                    nan,                    nan,                0.65505,                0.59817,                0.53712,                0.23885,                      0,                    nan,                      0,                0.00571,                0.00571,                0.00571
                     15,                    nan,                    nan,                    nan,                0.65505,                0.59817,                0.53712,                0.23885,                      0,                    nan,                      0,                0.00538,                0.00538,                0.00538
                     16,                    nan,                    nan,                    nan,                0.65505,                0.59817,                0.53712,                0.23885,                      0,                    nan,                      0,                0.00505,                0.00505,                0.00505
                     17,                    nan,                    nan,                    nan,                0.65505,                0.59817,                0.53712,                0.23885,                      0,                    nan,                      0,                0.00472,                0.00472,                0.00472
                     18,                    nan,                    nan,                    nan,                0.65505,                0.59817,                0.53712,                0.23885,                      0,                    nan,                      0,                0.00439,                0.00439,                0.00439
                     19,                    nan,                    nan,                    nan,                0.65505,                0.59817,                0.53712,                0.23885,                      0,                    nan,                      0,                0.00406,                0.00406,                0.00406
                     20,                    nan,                    nan,                    nan,                0.65505,                0.59817,                0.53712,                0.23885,                      0,                    nan,                      0,                0.00373,                0.00373,                0.00373
                     21,                    nan,                    nan,                    nan,                0.65505,                0.59817,                0.53712,                0.23885,                      0,                    nan,                      0,                 0.0034,                 0.0034,                 0.0034
                     22,                    nan,                    nan,                    nan,                0.65505,                0.59817,                0.53712,                0.23885,                      0,                    nan,                      0,                0.00307,                0.00307,                0.00307
                     23,                    nan,                    nan,                    nan,                0.65505,                0.59817,                0.53712,                0.23885,                      0,                    nan,                      0,                0.00274,                0.00274,                0.00274
                     24,                    nan,                    nan,                    nan,                0.65505,                0.59817,                0.53712,                0.23885,                      0,                    nan,                      0,                0.00241,                0.00241,                0.00241
                     25,                    nan,                    nan,                    nan,                0.65505,                0.59817,                0.53712,                0.23885,                      0,                    nan,                      0,                0.00208,                0.00208,                0.00208
                     26,                    nan,                    nan,                    nan,                0.65505,                0.59817,                0.53712,                0.23885,                      0,                    nan,                      0,                0.00175,                0.00175,                0.00175
                     27,                    nan,                    nan,                    nan,                0.65505,                0.59817,                0.53712,                0.23885,                      0,                    nan,                      0,                0.00142,                0.00142,                0.00142
                     28,                    nan,                    nan,                    nan,                0.65505,                0.59817,                0.53712,                0.23885,                      0,                    nan,                      0,                0.00109,                0.00109,                0.00109
                     29,                    nan,                    nan,                    nan,                0.65505,                0.59817,                0.53712,                0.23885,                      0,                    nan,                      0,                0.00076,                0.00076,                0.00076
